"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/6/2024 11 a.m. PDT",1028,993,863,-165
SCL,"7/6/2024 12 p.m. PDT",1079,1018,761,-318
SCL,"7/6/2024 1 p.m. PDT",1098,1033,817,-281
SCL,"7/6/2024 2 p.m. PDT",1109,1046,906,-203
SCL,"7/6/2024 3 p.m. PDT",1125,1059,876,-249
SCL,"7/6/2024 4 p.m. PDT",1146,1079,846,-300
SCL,"7/6/2024 5 p.m. PDT",1179,1092,784,-395
SCL,"7/6/2024 6 p.m. PDT",1203,1111,790,-413
SCL,"7/6/2024 7 p.m. PDT",1218,1102,888,-330
SCL,"7/6/2024 8 p.m. PDT",1206,1083,1012,-194
SCL,"7/6/2024 9 p.m. PDT",1177,1058,963,-214
SCL,"7/6/2024 10 p.m. PDT",1154,1045,798,-356
SCL,"7/6/2024 11 p.m. PDT",1099,1008,559,-540
SCL,"7/7/2024 12 a.m. PDT",1021,945,498,-523
SCL,"7/7/2024 1 a.m. PDT",958,921,417,-541
SCL,"7/7/2024 2 a.m. PDT",895,859,356,-539
SCL,"7/7/2024 3 a.m. PDT",853,821,329,-524
SCL,"7/7/2024 4 a.m. PDT",838,797,293,-545
SCL,"7/7/2024 5 a.m. PDT",824,784,294,-530
SCL,"7/7/2024 6 a.m. PDT",808,776,294,-514
SCL,"7/7/2024 7 a.m. PDT",836,798,349,-487
SCL,"7/7/2024 8 a.m. PDT",883,846,347,-536
SCL,"7/7/2024 9 a.m. PDT",951,903,447,-504
SCL,"7/7/2024 10 a.m. PDT",1011,960,570,-441
SCL,"7/7/2024 11 a.m. PDT",1072,1002,627,-445
SCL,"7/7/2024 12 p.m. PDT",1112,1035,614,-498
SCL,"7/7/2024 1 p.m. PDT",1151,1062,683,-468
SCL,"7/7/2024 2 p.m. PDT",1178,1086,695,-483
SCL,"7/7/2024 3 p.m. PDT",1189,1109,755,-434
SCL,"7/7/2024 4 p.m. PDT",1213,1127,786,-427
SCL,"7/7/2024 5 p.m. PDT",1258,1154,771,-487
SCL,"7/7/2024 6 p.m. PDT",1295,1179,841,-454
SCL,"7/7/2024 7 p.m. PDT",1309,1178,966,-343
SCL,"7/7/2024 8 p.m. PDT",1305,1165,958,-347
SCL,"7/7/2024 9 p.m. PDT",1279,1138,858,-421
SCL,"7/7/2024 10 p.m. PDT",1248,1126,777,-471
SCL,"7/7/2024 11 p.m. PDT",1182,1081,572,-610
SCL,"7/8/2024 12 a.m. PDT",1086,1008,469,-617
SCL,"7/8/2024 1 a.m. PDT",1006,979,403,-603
SCL,"7/8/2024 2 a.m. PDT",933,912,358,-575
SCL,"7/8/2024 3 a.m. PDT",923,878,326,-597
SCL,"7/8/2024 4 a.m. PDT",898,862,351,-547
SCL,"7/8/2024 5 a.m. PDT",896,866,364,-532
SCL,"7/8/2024 6 a.m. PDT",931,890,408,-523
SCL,"7/8/2024 7 a.m. PDT",982,962,574,-408
SCL,"7/8/2024 8 a.m. PDT",1114,1038,665,-449
SCL,"7/8/2024 9 a.m. PDT",1177,1090,702,-475
SCL,"7/8/2024 10 a.m. PDT",1223,1127,681,-542
SCL,"7/8/2024 11 a.m. PDT",1254,1162,559,-695
SCL,"7/8/2024 12 p.m. PDT",1285,1189,595,-690
SCL,"7/8/2024 1 p.m. PDT",1322,1212,530,-792
SCL,"7/8/2024 2 p.m. PDT",1345,1235,622,-723
