BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/9/2024 1 p.m. PST,1484.0
SCL,1/9/2024 2 p.m. PST,1480.0
SCL,1/9/2024 3 p.m. PST,1461.0
SCL,1/9/2024 4 p.m. PST,1456.0
SCL,1/9/2024 5 p.m. PST,1495.0
SCL,1/9/2024 6 p.m. PST,1564.0
SCL,1/9/2024 7 p.m. PST,1543.0
SCL,1/9/2024 8 p.m. PST,1502.0
SCL,1/9/2024 9 p.m. PST,1465.0
SCL,1/9/2024 10 p.m. PST,1386.0
SCL,1/9/2024 11 p.m. PST,1290.0
SCL,1/10/2024 12 a.m. PST,1193.0
SCL,1/10/2024 1 a.m. PST,1137.0
SCL,1/10/2024 2 a.m. PST,1100.0
SCL,1/10/2024 3 a.m. PST,1091.0
SCL,1/10/2024 4 a.m. PST,1099.0
SCL,1/10/2024 5 a.m. PST,1153.0
SCL,1/10/2024 6 a.m. PST,1251.0
SCL,1/10/2024 7 a.m. PST,1411.0
SCL,1/10/2024 8 a.m. PST,1527.0
SCL,1/10/2024 9 a.m. PST,1556.0
SCL,1/10/2024 10 a.m. PST,1561.0
SCL,1/10/2024 11 a.m. PST,1535.0
SCL,1/10/2024 12 p.m. PST,1515.0
SCL,1/10/2024 1 p.m. PST,1490.0
SCL,1/10/2024 2 p.m. PST,1447.0
SCL,1/10/2024 3 p.m. PST,1389.0
SCL,1/10/2024 4 p.m. PST,1443.0
SCL,1/10/2024 5 p.m. PST,1505.0
SCL,1/10/2024 6 p.m. PST,1564.0
SCL,1/10/2024 7 p.m. PST,1548.0
SCL,1/10/2024 8 p.m. PST,1517.0
SCL,1/10/2024 9 p.m. PST,1479.0
SCL,1/10/2024 10 p.m. PST,1406.0
SCL,1/10/2024 11 p.m. PST,1303.0
SCL,1/11/2024 12 a.m. PST,1212.0
SCL,1/11/2024 1 a.m. PST,1112.0
SCL,1/11/2024 2 a.m. PST,1080.0
SCL,1/11/2024 3 a.m. PST,1066.0
SCL,1/11/2024 4 a.m. PST,1079.0
SCL,1/11/2024 5 a.m. PST,1117.0
SCL,1/11/2024 6 a.m. PST,1231.0
SCL,1/11/2024 7 a.m. PST,1383.0
SCL,1/11/2024 8 a.m. PST,1503.0
SCL,1/11/2024 9 a.m. PST,1527.0
SCL,1/11/2024 10 a.m. PST,1525.0
SCL,1/11/2024 11 a.m. PST,1507.0
SCL,1/11/2024 12 p.m. PST,1454.0
SCL,1/11/2024 1 p.m. PST,1409.0
SCL,1/11/2024 2 p.m. PST,1379.0
SCL,1/11/2024 3 p.m. PST,1371.0
SCL,1/11/2024 4 p.m. PST,1421.0
SCL,1/11/2024 5 p.m. PST,1530.0
SCL,1/11/2024 6 p.m. PST,1621.0
SCL,1/11/2024 7 p.m. PST,1622.0
SCL,1/11/2024 8 p.m. PST,1609.0
SCL,1/11/2024 9 p.m. PST,1586.0
SCL,1/11/2024 10 p.m. PST,1521.0
SCL,1/11/2024 11 p.m. PST,1449.0
SCL,1/12/2024 12 a.m. PST,1367.0
SCL,1/12/2024 1 a.m. PST,1310.0
SCL,1/12/2024 2 a.m. PST,1294.0
SCL,1/12/2024 3 a.m. PST,1289.0
SCL,1/12/2024 4 a.m. PST,1320.0
SCL,1/12/2024 5 a.m. PST,1391.0
SCL,1/12/2024 6 a.m. PST,1489.0
SCL,1/12/2024 7 a.m. PST,1619.0
SCL,1/12/2024 8 a.m. PST,1778.0
SCL,1/12/2024 9 a.m. PST,1857.0
SCL,1/12/2024 10 a.m. PST,1892.0
SCL,1/12/2024 11 a.m. PST,1914.0
SCL,1/12/2024 12 p.m. PST,1913.0
SCL,1/12/2024 1 p.m. PST,1924.0
SCL,1/12/2024 2 p.m. PST,1918.0
SCL,1/12/2024 3 p.m. PST,1899.0
SCL,1/12/2024 4 p.m. PST,1881.0
SCL,1/12/2024 5 p.m. PST,1964.0
SCL,1/12/2024 6 p.m. PST,2027.0
SCL,1/12/2024 7 p.m. PST,1996.0
SCL,1/12/2024 8 p.m. PST,1956.0
SCL,1/12/2024 9 p.m. PST,1914.0
SCL,1/12/2024 10 p.m. PST,1840.0
SCL,1/12/2024 11 p.m. PST,1773.0
SCL,1/13/2024 12 a.m. PST,1693.0
SCL,1/13/2024 1 a.m. PST,1630.0
SCL,1/13/2024 2 a.m. PST,1598.0
SCL,1/13/2024 3 a.m. PST,1592.0
SCL,1/13/2024 4 a.m. PST,1577.0
SCL,1/13/2024 5 a.m. PST,1609.0
SCL,1/13/2024 6 a.m. PST,1632.0
SCL,1/13/2024 7 a.m. PST,1676.0
SCL,1/13/2024 8 a.m. PST,1777.0
SCL,1/13/2024 9 a.m. PST,1846.0
SCL,1/13/2024 10 a.m. PST,1896.0
SCL,1/13/2024 11 a.m. PST,1918.0
SCL,1/13/2024 12 p.m. PST,1929.0
SCL,1/13/2024 1 p.m. PST,1901.0
SCL,1/13/2024 2 p.m. PST,1890.0
SCL,1/13/2024 3 p.m. PST,1879.0
SCL,1/13/2024 4 p.m. PST,1890.0
SCL,1/13/2024 5 p.m. PST,1913.0
SCL,1/13/2024 6 p.m. PST,1959.0
SCL,1/13/2024 7 p.m. PST,1915.0
SCL,1/13/2024 8 p.m. PST,1911.0
SCL,1/13/2024 9 p.m. PST,1873.0
SCL,1/13/2024 10 p.m. PST,1831.0
SCL,1/13/2024 11 p.m. PST,1757.0
SCL,1/14/2024 12 a.m. PST,1673.0
SCL,1/14/2024 1 a.m. PST,1611.0
SCL,1/14/2024 2 a.m. PST,1578.0
SCL,1/14/2024 3 a.m. PST,1552.0
SCL,1/14/2024 4 a.m. PST,1571.0
SCL,1/14/2024 5 a.m. PST,1576.0
SCL,1/14/2024 6 a.m. PST,1601.0
SCL,1/14/2024 7 a.m. PST,1650.0
SCL,1/14/2024 8 a.m. PST,1718.0
SCL,1/14/2024 9 a.m. PST,1769.0
