"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"3/10/2025 4 a.m. PDT",997,1003,246,-751
SCL,"3/10/2025 5 a.m. PDT",1005,1035,297,-708
SCL,"3/10/2025 6 a.m. PDT",1152,1117,476,-676
SCL,"3/10/2025 7 a.m. PDT",1248,1245,673,-575
SCL,"3/10/2025 8 a.m. PDT",1412,1351,744,-668
SCL,"3/10/2025 9 a.m. PDT",1440,1363,594,-846
SCL,"3/10/2025 10 a.m. PDT",1354,1358,563,-791
SCL,"3/10/2025 11 a.m. PDT",1325,1343,436,-889
SCL,"3/10/2025 12 p.m. PDT",1370,1324,249,-1121
SCL,"3/10/2025 1 p.m. PDT",1362,1302,248,-1114
SCL,"3/10/2025 2 p.m. PDT",1354,1290,255,-1099
SCL,"3/10/2025 3 p.m. PDT",1325,1259,250,-1075
SCL,"3/10/2025 4 p.m. PDT",1440,1234,386,-1054
SCL,"3/10/2025 5 p.m. PDT",1346,1238,276,-1070
SCL,"3/10/2025 6 p.m. PDT",1376,1247,653,-723
SCL,"3/10/2025 7 p.m. PDT",1382,1264,689,-693
SCL,"3/10/2025 8 p.m. PDT",1395,1291,779,-616
SCL,"3/10/2025 9 p.m. PDT",1373,1272,624,-749
SCL,"3/10/2025 10 p.m. PDT",1318,1213,597,-721
SCL,"3/10/2025 11 p.m. PDT",1209,1135,515,-694
SCL,"3/11/2025 12 a.m. PDT",1118,1049,463,-655
SCL,"3/11/2025 1 a.m. PDT",1066,1018,295,-771
SCL,"3/11/2025 2 a.m. PDT",1022,985,314,-708
SCL,"3/11/2025 3 a.m. PDT",1010,970,302,-708
SCL,"3/11/2025 4 a.m. PDT",1019,977,296,-723
SCL,"3/11/2025 5 a.m. PDT",1069,1016,309,-760
SCL,"3/11/2025 6 a.m. PDT",1160,1109,533,-627
SCL,"3/11/2025 7 a.m. PDT",1313,1253,648,-665
SCL,"3/11/2025 8 a.m. PDT",1424,1371,750,-674
SCL,"3/11/2025 9 a.m. PDT",1441,1384,594,-847
SCL,"3/11/2025 10 a.m. PDT",1426,1362,497,-929
SCL,"3/11/2025 11 a.m. PDT",1392,1328,454,-938
SCL,"3/11/2025 12 p.m. PDT",1377,1292,455,-922
SCL,"3/11/2025 1 p.m. PDT",1347,1264,280,-1067
SCL,"3/11/2025 2 p.m. PDT",1312,1242,272,-1040
SCL,"3/11/2025 3 p.m. PDT",1245,1226,246,-999
SCL,"3/11/2025 4 p.m. PDT",1359,1213,403,-956
SCL,"3/11/2025 5 p.m. PDT",1251,1223,317,-934
SCL,"3/11/2025 6 p.m. PDT",1304,1247,493,-811
SCL,"3/11/2025 7 p.m. PDT",1323,1266,631,-692
SCL,"3/11/2025 8 p.m. PDT",1336,1297,728,-608
SCL,"3/11/2025 9 p.m. PDT",1324,1276,656,-668
SCL,"3/11/2025 10 p.m. PDT",1272,1226,519,-753
SCL,"3/11/2025 11 p.m. PDT",1182,1139,516,-666
SCL,"3/12/2025 12 a.m. PDT",1094,1049,479,-615
SCL,"3/12/2025 1 a.m. PDT",1034,990,356,-678
SCL,"3/12/2025 2 a.m. PDT",989,949,355,-634
SCL,"3/12/2025 3 a.m. PDT",923,933,308,-615
SCL,"3/12/2025 4 a.m. PDT",925,937,284,-641
SCL,"3/12/2025 5 a.m. PDT",965,975,363,-602
SCL,"3/12/2025 6 a.m. PDT",1061,1063,439,-622
SCL,"3/12/2025 7 a.m. PDT",1200,1200,421,-779
SCL,"3/12/2025 8 a.m. PDT",1313,1315,603,-710
SCL,"3/12/2025 9 a.m. PDT",1338,1333,741,-597
SCL,"3/12/2025 10 a.m. PDT",1352,1319,708,-644
SCL,"3/12/2025 11 a.m. PDT",1335,1295,700,-635
SCL,"3/12/2025 12 p.m. PDT",1325,1273,675,-650
SCL,"3/12/2025 1 p.m. PDT",1294,1251,665,-629
SCL,"3/12/2025 2 p.m. PDT",1268,1233,635,-633
SCL,"3/12/2025 3 p.m. PDT",1239,1221,528,-711
SCL,"3/12/2025 4 p.m. PDT",1208,1210,483,-725
SCL,"3/12/2025 5 p.m. PDT",1216,1225,514,-702
SCL,"3/12/2025 6 p.m. PDT",1236,1250,690,-546
SCL,"3/12/2025 7 p.m. PDT",1254,1255,749,-505
SCL,"3/12/2025 8 p.m. PDT",1269,1286,745,-524
SCL,"3/12/2025 9 p.m. PDT",1259,1266,760,-499
SCL,"3/12/2025 10 p.m. PDT",1211,1210,651,-560
SCL,"3/12/2025 11 p.m. PDT",1134,1126,450,-684
SCL,"3/13/2025 12 a.m. PDT",1055,1044,348,-707
SCL,"3/13/2025 1 a.m. PDT",993,996,279,-714
SCL,"3/13/2025 2 a.m. PDT",956,974,304,-652
SCL,"3/13/2025 3 a.m. PDT",936,960,281,-655
SCL,"3/13/2025 4 a.m. PDT",936,966,238,-698
SCL,"3/13/2025 5 a.m. PDT",974,1006,252,-722
SCL,"3/13/2025 6 a.m. PDT",1083,1100,438,-645
SCL,"3/13/2025 7 a.m. PDT",1232,1252,673,-559
SCL,"3/13/2025 8 a.m. PDT",1368,1370,736,-632
SCL,"3/13/2025 9 a.m. PDT",1397,1390,624,-773
SCL,"3/13/2025 10 a.m. PDT",1351,1377,617,-734
SCL,"3/13/2025 11 a.m. PDT",1297,1355,471,-826
SCL,"3/13/2025 12 p.m. PDT",1259,1333,360,-899
SCL,"3/13/2025 1 p.m. PDT",1254,1310,290,-964
SCL,"3/13/2025 2 p.m. PDT",1306,1297,291,-1015
SCL,"3/13/2025 3 p.m. PDT",1287,1290,254,-1033
SCL,"3/13/2025 4 p.m. PDT",1242,1287,244,-998
SCL,"3/13/2025 5 p.m. PDT",1231,1297,384,-847
SCL,"3/13/2025 6 p.m. PDT",1273,1316,548,-725
SCL,"3/13/2025 7 p.m. PDT",1284,1316,713,-571
SCL,"3/13/2025 8 p.m. PDT",1331,1342,782,-549
SCL,"3/13/2025 9 p.m. PDT",1342,1328,690,-652
SCL,"3/13/2025 10 p.m. PDT",1287,1271,683,-604
SCL,"3/13/2025 11 p.m. PDT",1213,1187,770,-443
SCL,"3/14/2025 12 a.m. PDT",1125,1098,670,-455
SCL,"3/14/2025 1 a.m. PDT",1069,1071,339,-730
SCL,"3/14/2025 2 a.m. PDT",1028,1039,320,-708
SCL,"3/14/2025 3 a.m. PDT",1015,1024,331,-684
SCL,"3/14/2025 4 a.m. PDT",1022,1027,313,-709
SCL,"3/14/2025 5 a.m. PDT",1067,1064,479,-588
SCL,"3/14/2025 6 a.m. PDT",1163,1157,647,-516
SCL,"3/14/2025 7 a.m. PDT",1312,1299,762,-550
SCL,"3/14/2025 8 a.m. PDT",1431,1413,782,-649
SCL,"3/14/2025 9 a.m. PDT",1474,1431,776,-698
SCL,"3/14/2025 10 a.m. PDT",1445,1403,500,-945
SCL,"3/14/2025 11 a.m. PDT",1381,1367,441,-940
SCL,"3/14/2025 12 p.m. PDT",1341,1328,430,-911
SCL,"3/14/2025 1 p.m. PDT",1322,1285,417,-905
SCL,"3/14/2025 2 p.m. PDT",1298,1247,416,-882
SCL,"3/14/2025 3 p.m. PDT",1282,1215,411,-871
SCL,"3/14/2025 4 p.m. PDT",1276,1199,315,-961
SCL,"3/14/2025 5 p.m. PDT",1298,1206,293,-1005
SCL,"3/14/2025 6 p.m. PDT",1307,1225,515,-792
SCL,"3/14/2025 7 p.m. PDT",1295,1227,535,-760
SCL,"3/14/2025 8 p.m. PDT",1307,1251,517,-790
SCL,"3/14/2025 9 p.m. PDT",1283,1230,521,-762
SCL,"3/14/2025 10 p.m. PDT",1234,1192,506,-728
SCL,"3/14/2025 11 p.m. PDT",1169,1128,522,-647
SCL,"3/15/2025 12 a.m. PDT",1104,1065,464,-640
SCL,"3/15/2025 1 a.m. PDT",1045,1005,335,-710
SCL,"3/15/2025 2 a.m. PDT",1006,973,315,-691
SCL,"3/15/2025 3 a.m. PDT",980,953,347,-633
SCL,"3/15/2025 4 a.m. PDT",975,949,320,-655
SCL,"3/15/2025 5 a.m. PDT",989,964,330,-659
SCL,"3/15/2025 6 a.m. PDT",1033,1000,374,-659
SCL,"3/15/2025 7 a.m. PDT",1110,1062,478,-632
SCL,"3/15/2025 8 a.m. PDT",1169,1127,361,-808
SCL,"3/15/2025 9 a.m. PDT",1234,1193,278,-956
SCL,"3/15/2025 10 a.m. PDT",1260,1241,267,-993
SCL,"3/15/2025 11 a.m. PDT",1281,1257,250,-1031
SCL,"3/15/2025 12 p.m. PDT",1270,1257,138,-1132
SCL,"3/15/2025 1 p.m. PDT",1265,1249,144,-1121
SCL,"3/15/2025 2 p.m. PDT",1267,1222,141,-1126
SCL,"3/15/2025 3 p.m. PDT",1252,1203,136,-1116
SCL,"3/15/2025 4 p.m. PDT",1218,1190,136,-1082
SCL,"3/15/2025 5 p.m. PDT",1229,1204,424,-805
SCL,"3/15/2025 6 p.m. PDT",1257,1219,419,-838
SCL,"3/15/2025 7 p.m. PDT",1298,1236,535,-763
