"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"12/7/2024 3 p.m. PST",1227,1257,207,-1020
SCL,"12/7/2024 4 p.m. PST",1200,1261,256,-944
SCL,"12/7/2024 5 p.m. PST",1275,1307,601,-674
SCL,"12/7/2024 6 p.m. PST",1327,1333,665,-662
SCL,"12/7/2024 7 p.m. PST",1306,1318,507,-799
SCL,"12/7/2024 8 p.m. PST",1288,1291,510,-778
SCL,"12/7/2024 9 p.m. PST",1244,1262,506,-738
SCL,"12/7/2024 10 p.m. PST",1220,1221,336,-884
SCL,"12/7/2024 11 p.m. PST",1171,1165,166,-1005
SCL,"12/8/2024 12 a.m. PST",1109,1103,136,-973
SCL,"12/8/2024 1 a.m. PST",1057,1025,231,-826
SCL,"12/8/2024 2 a.m. PST",1020,988,211,-809
SCL,"12/8/2024 3 a.m. PST",988,965,236,-752
SCL,"12/8/2024 4 a.m. PST",972,955,234,-738
SCL,"12/8/2024 5 a.m. PST",976,956,218,-758
SCL,"12/8/2024 6 a.m. PST",1008,983,228,-780
SCL,"12/8/2024 7 a.m. PST",1053,1035,193,-860
SCL,"12/8/2024 8 a.m. PST",1119,1091,212,-907
SCL,"12/8/2024 9 a.m. PST",1175,1142,248,-927
SCL,"12/8/2024 10 a.m. PST",1223,1177,248,-975
SCL,"12/8/2024 11 a.m. PST",1252,1200,246,-1006
SCL,"12/8/2024 12 p.m. PST",1276,1207,250,-1026
SCL,"12/8/2024 1 p.m. PST",1282,1209,250,-1032
SCL,"12/8/2024 2 p.m. PST",1275,1210,245,-1030
SCL,"12/8/2024 3 p.m. PST",1275,1215,251,-1024
SCL,"12/8/2024 4 p.m. PST",1266,1236,299,-967
SCL,"12/8/2024 5 p.m. PST",1326,1286,464,-862
SCL,"12/8/2024 6 p.m. PST",1383,1339,541,-842
SCL,"12/8/2024 7 p.m. PST",1376,1335,548,-828
SCL,"12/8/2024 8 p.m. PST",1355,1310,550,-805
SCL,"12/8/2024 9 p.m. PST",1307,1284,466,-841
SCL,"12/8/2024 10 p.m. PST",1264,1241,363,-901
SCL,"12/8/2024 11 p.m. PST",1182,1168,364,-818
SCL,"12/9/2024 12 a.m. PST",1092,1084,192,-900
SCL,"12/9/2024 1 a.m. PST",1034,1007,196,-838
SCL,"12/9/2024 2 a.m. PST",999,965,206,-793
SCL,"12/9/2024 3 a.m. PST",990,954,209,-781
SCL,"12/9/2024 4 a.m. PST",1000,967,280,-720
SCL,"12/9/2024 5 a.m. PST",1045,1016,282,-763
SCL,"12/9/2024 6 a.m. PST",1141,1120,353,-788
SCL,"12/9/2024 7 a.m. PST",1251,1256,513,-738
SCL,"12/9/2024 8 a.m. PST",1367,1364,544,-823
SCL,"12/9/2024 9 a.m. PST",1405,1394,481,-924
SCL,"12/9/2024 10 a.m. PST",1388,1391,425,-963
SCL,"12/9/2024 11 a.m. PST",1372,1381,375,-997
SCL,"12/9/2024 12 p.m. PST",1382,1366,374,-1008
SCL,"12/9/2024 1 p.m. PST",1393,1353,289,-1104
SCL,"12/9/2024 2 p.m. PST",1378,1328,287,-1091
SCL,"12/9/2024 3 p.m. PST",1336,1320,372,-964
SCL,"12/9/2024 4 p.m. PST",1331,1341,423,-908
SCL,"12/9/2024 5 p.m. PST",1398,1402,705,-693
SCL,"12/9/2024 6 p.m. PST",1457,1449,728,-729
SCL,"12/9/2024 7 p.m. PST",1455,1423,717,-738
SCL,"12/9/2024 8 p.m. PST",1426,1377,766,-660
SCL,"12/9/2024 9 p.m. PST",1396,1336,635,-761
SCL,"12/9/2024 10 p.m. PST",1337,1278,477,-860
SCL,"12/9/2024 11 p.m. PST",1233,1191,449,-784
SCL,"12/10/2024 12 a.m. PST",1123,1110,378,-745
SCL,"12/10/2024 1 a.m. PST",1065,1079,110,-955
SCL,"12/10/2024 2 a.m. PST",1036,1038,109,-927
SCL,"12/10/2024 3 a.m. PST",1035,1025,116,-919
SCL,"12/10/2024 4 a.m. PST",1046,1033,109,-937
SCL,"12/10/2024 5 a.m. PST",1104,1077,131,-973
SCL,"12/10/2024 6 a.m. PST",1213,1185,360,-853
SCL,"12/10/2024 7 a.m. PST",1379,1335,573,-806
SCL,"12/10/2024 8 a.m. PST",1504,1447,677,-827
SCL,"12/10/2024 9 a.m. PST",1519,1458,662,-857
SCL,"12/10/2024 10 a.m. PST",1479,1434,525,-954
SCL,"12/10/2024 11 a.m. PST",1446,1396,427,-1019
SCL,"12/10/2024 12 p.m. PST",1406,1369,382,-1024
SCL,"12/10/2024 1 p.m. PST",1368,1342,320,-1048
SCL,"12/10/2024 2 p.m. PST",1347,1316,309,-1038
SCL,"12/10/2024 3 p.m. PST",1360,1298,312,-1048
SCL,"12/10/2024 4 p.m. PST",1384,1319,398,-986
SCL,"12/10/2024 5 p.m. PST",1449,1384,546,-903
SCL,"12/10/2024 6 p.m. PST",1490,1434,707,-783
SCL,"12/10/2024 7 p.m. PST",1465,1416,571,-894
SCL,"12/10/2024 8 p.m. PST",1435,1382,553,-882
SCL,"12/10/2024 9 p.m. PST",1396,1349,547,-849
SCL,"12/10/2024 10 p.m. PST",1327,1290,400,-927
SCL,"12/10/2024 11 p.m. PST",1237,1200,385,-852
SCL,"12/11/2024 12 a.m. PST",1149,1115,233,-916
SCL,"12/11/2024 1 a.m. PST",1089,1102,106,-983
SCL,"12/11/2024 2 a.m. PST",1046,1064,104,-942
SCL,"12/11/2024 3 a.m. PST",1033,1048,103,-930
SCL,"12/11/2024 4 a.m. PST",1036,1052,104,-932
SCL,"12/11/2024 5 a.m. PST",1075,1091,109,-966
SCL,"12/11/2024 6 a.m. PST",1194,1189,395,-799
SCL,"12/11/2024 7 a.m. PST",1372,1330,606,-766
SCL,"12/11/2024 8 a.m. PST",1444,1441,701,-743
SCL,"12/11/2024 9 a.m. PST",1467,1460,629,-838
SCL,"12/11/2024 10 a.m. PST",1460,1440,547,-913
SCL,"12/11/2024 11 a.m. PST",1436,1404,506,-930
SCL,"12/11/2024 12 p.m. PST",1411,1372,329,-1082
SCL,"12/11/2024 1 p.m. PST",1377,1344,326,-1051
SCL,"12/11/2024 2 p.m. PST",1353,1326,335,-1018
SCL,"12/11/2024 3 p.m. PST",1319,1300,405,-914
SCL,"12/11/2024 4 p.m. PST",1326,1329,542,-784
SCL,"12/11/2024 5 p.m. PST",1400,1392,679,-721
SCL,"12/11/2024 6 p.m. PST",1441,1444,757,-684
SCL,"12/11/2024 7 p.m. PST",1424,1425,657,-767
SCL,"12/11/2024 8 p.m. PST",1412,1401,613,-799
SCL,"12/11/2024 9 p.m. PST",1375,1368,645,-730
SCL,"12/11/2024 10 p.m. PST",1324,1309,479,-845
SCL,"12/11/2024 11 p.m. PST",1239,1226,416,-823
SCL,"12/12/2024 12 a.m. PST",1144,1138,237,-907
SCL,"12/12/2024 1 a.m. PST",1095,1102,220,-875
SCL,"12/12/2024 2 a.m. PST",1054,1061,216,-838
SCL,"12/12/2024 3 a.m. PST",1044,1046,208,-836
SCL,"12/12/2024 4 a.m. PST",1043,1051,221,-822
SCL,"12/12/2024 5 a.m. PST",1088,1088,245,-843
SCL,"12/12/2024 6 a.m. PST",1206,1184,370,-836
SCL,"12/12/2024 7 a.m. PST",1351,1325,400,-951
SCL,"12/12/2024 8 a.m. PST",1441,1433,544,-897
SCL,"12/12/2024 9 a.m. PST",1469,1451,486,-983
SCL,"12/12/2024 10 a.m. PST",1458,1447,380,-1078
SCL,"12/12/2024 11 a.m. PST",1428,1429,371,-1057
SCL,"12/12/2024 12 p.m. PST",1422,1415,371,-1051
SCL,"12/12/2024 1 p.m. PST",1404,1407,378,-1026
SCL,"12/12/2024 2 p.m. PST",1383,1403,369,-1014
SCL,"12/12/2024 3 p.m. PST",1380,1394,373,-1007
SCL,"12/12/2024 4 p.m. PST",1384,1394,574,-810
SCL,"12/12/2024 5 p.m. PST",1418,1460,646,-772
SCL,"12/12/2024 6 p.m. PST",1441,1487,642,-799
SCL,"12/12/2024 7 p.m. PST",1401,1462,644,-757
SCL,"12/12/2024 8 p.m. PST",1366,1420,627,-739
SCL,"12/12/2024 9 p.m. PST",1317,1379,552,-765
SCL,"12/12/2024 10 p.m. PST",1253,1319,544,-709
SCL,"12/12/2024 11 p.m. PST",1173,1237,529,-644
SCL,"12/13/2024 12 a.m. PST",1086,1151,377,-709
SCL,"12/13/2024 1 a.m. PST",1018,1042,112,-906
SCL,"12/13/2024 2 a.m. PST",979,998,110,-869
SCL,"12/13/2024 3 a.m. PST",966,981,109,-857
SCL,"12/13/2024 4 a.m. PST",970,987,105,-865
SCL,"12/13/2024 5 a.m. PST",1013,1036,117,-896
SCL,"12/13/2024 6 a.m. PST",1112,1145,298,-814
SCL,"12/13/2024 7 a.m. PST",1246,1288,505,-741
SCL,"12/13/2024 8 a.m. PST",1359,1406,585,-774
SCL,"12/13/2024 9 a.m. PST",1392,1443,578,-814
SCL,"12/13/2024 10 a.m. PST",1397,1447,589,-808
SCL,"12/13/2024 11 a.m. PST",1405,1437,408,-997
SCL,"12/13/2024 12 p.m. PST",1419,1423,391,-1028
SCL,"12/13/2024 1 p.m. PST",1427,1405,385,-1042
SCL,"12/13/2024 2 p.m. PST",1437,1387,398,-1039
SCL,"12/13/2024 3 p.m. PST",1437,1371,395,-1042
SCL,"12/13/2024 4 p.m. PST",1421,1390,458,-963
SCL,"12/13/2024 5 p.m. PST",1474,1437,602,-872
SCL,"12/13/2024 6 p.m. PST",1492,1455,590,-902
SCL,"12/13/2024 7 p.m. PST",1421,1407,591,-830
SCL,"12/13/2024 8 p.m. PST",1396,1364,602,-794
SCL,"12/13/2024 9 p.m. PST",1345,1330,563,-782
SCL,"12/13/2024 10 p.m. PST",1298,1278,375,-923
SCL,"12/13/2024 11 p.m. PST",1227,1217,387,-840
SCL,"12/14/2024 12 a.m. PST",1155,1142,371,-784
SCL,"12/14/2024 1 a.m. PST",1094,1066,204,-890
SCL,"12/14/2024 2 a.m. PST",1029,1018,204,-825
SCL,"12/14/2024 3 a.m. PST",1017,994,206,-811
SCL,"12/14/2024 4 a.m. PST",997,984,247,-750
SCL,"12/14/2024 5 a.m. PST",1010,992,250,-760
SCL,"12/14/2024 6 a.m. PST",1050,1028,286,-764
SCL,"12/14/2024 7 a.m. PST",1108,1088,488,-620
SCL,"12/14/2024 8 a.m. PST",1177,1157,510,-667
SCL,"12/14/2024 9 a.m. PST",1227,1219,414,-813
SCL,"12/14/2024 10 a.m. PST",1275,1265,390,-885
SCL,"12/14/2024 11 a.m. PST",1260,1287,382,-878
SCL,"12/14/2024 12 p.m. PST",1300,1293,382,-918
SCL,"12/14/2024 1 p.m. PST",1292,1290,383,-909
SCL,"12/14/2024 2 p.m. PST",1287,1282,440,-847
SCL,"12/14/2024 3 p.m. PST",1293,1273,435,-858
SCL,"12/14/2024 4 p.m. PST",1298,1276,432,-866
SCL,"12/14/2024 5 p.m. PST",1346,1324,430,-916
SCL,"12/14/2024 6 p.m. PST",1387,1352,496,-891
SCL,"12/14/2024 7 p.m. PST",1364,1338,503,-861
SCL,"12/14/2024 8 p.m. PST",1340,1314,506,-834
SCL,"12/14/2024 9 p.m. PST",1310,1284,472,-838
SCL,"12/14/2024 10 p.m. PST",1270,1243,442,-828
SCL,"12/14/2024 11 p.m. PST",1216,1191,404,-812
SCL,"12/15/2024 12 a.m. PST",1161,1123,237,-924
SCL,"12/15/2024 1 a.m. PST",1106,1073,232,-874
SCL,"12/15/2024 2 a.m. PST",1059,1039,223,-836
SCL,"12/15/2024 3 a.m. PST",1042,1018,222,-820
SCL,"12/15/2024 4 a.m. PST",1040,1008,235,-805
SCL,"12/15/2024 5 a.m. PST",1040,1008,241,-799
SCL,"12/15/2024 6 a.m. PST",1067,1032,346,-721
SCL,"12/15/2024 7 a.m. PST",1125,1082,387,-738
SCL,"12/15/2024 8 a.m. PST",1180,1140,462,-718
SCL,"12/15/2024 9 a.m. PST",1245,1200,477,-768
SCL,"12/15/2024 10 a.m. PST",1266,1227,396,-870
SCL,"12/15/2024 11 a.m. PST",1278,1249,393,-885
SCL,"12/15/2024 12 p.m. PST",1274,1256,388,-886
